species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
paternus,3.802961204,2.689376936,1.944838146,1.688018013,2.687592359,2.586259144,2.370594147,2.146954151,2.076311649,1.622354138,1.957979873,0.01242252,1.977893195,1.718292317,1.398716881,-0.133531393,1.383477899,1.319085611,3.496323822,2.995231648,3.792874718,4.377357059
placidus,3.773967107,2.623943692,1.737391277,1.674288885,2.575090074,2.501845704,2.320179401,1.910652999,1.761729723,1.264126727,1.549687908,-0.040821995,1.85824921,1.586169285,1.129787906,-0.210721031,1.280933845,1.202221271,3.249065448,2.79536255,3.797736918,3.87045391
poncensis,3.820377531,2.638444897,1.945093489,1.778818958,2.620415253,2.526984998,2.322527767,2.266809866,2.285584251,1.859863057,2.183640669,-0.067972984,2.032087845,1.82477968,1.468532459,-0.270684496,1.685869713,1.365727156,3.352272865,2.633910452,3.806565188,4.772390391
porcatus,4.258990989,3.231425321,2.542276681,2.233388119,3.249044704,3.146428012,2.95869774,2.666037021,2.552342755,2.063058062,2.429091871,0.712249282,2.436616361,2.200552367,1.860974538,0.514533029,2.013568798,1.899331823,3.779385065,3.351538029,4.252482188,4.943498039
porcus,5.038034268,4.105833862,3.389293477,3.455264603,3.964235877,3.890084098,3.671182109,3.398304312,3.154870495,2.708161306,3.117876157,1.322644334,3.273490265,3.049904752,2.729594231,1.244154594,2.93553985,2.580469323,3.810378929,3.505716598,5.032355116,5.196951224
pulchellus,3.799022266,2.721213188,1.958156287,1.848651644,2.724497532,2.635389899,2.423142056,2.328374665,2.257326187,1.835576973,2.187454786,0.013656326,2.038456773,1.788420568,1.522244701,-0.158116868,1.591273942,1.312042148,3.379012063,2.854765229,3.808373509,4.774494023
pumilis,3.46686027,2.284421122,1.711994501,1.47841765,2.253184743,2.160560593,1.955294549,1.832581464,1.768831965,1.315871897,1.588009965,-0.287682072,1.780361424,1.506297154,1.088561953,-0.427710717,1.316944283,1.072952542,3.210711426,2.814424585,3.432305934,4.099019953
quadriocellifer,3.901619072,2.696061962,2.157848297,1.956567444,2.685634162,2.585317436,2.364620484,2.499487333,2.459268278,1.981346237,2.25627934,0.137585663,2.301584593,2.089082419,1.690326416,-0.04997837,1.874107211,1.58770342,3.322191212,2.843951785,3.895740458,4.409190329
reconditus,4.482606994,3.359072455,2.788400554,2.574137784,3.369964679,3.276578535,3.064791809,3.203457572,3.077427461,2.649891287,3.087171334,0.708035793,2.867898902,2.686145366,2.498768463,0.580817996,2.404916024,2.078503602,3.559088754,3.050757995,4.472774144,5.225738321
ricordii,5.013963084,3.843601399,3.273742726,3.152736022,3.86388263,3.779253227,3.572626497,3.534853766,3.410432385,2.960277793,3.359101428,1.335001067,3.297009018,3.119497381,2.839760492,1.160020917,2.979009897,2.555934486,3.914874405,3.41388274,5.002876673,5.644784777
rubribarbus,4.078469213,2.894253105,2.351756137,2.175433307,2.887144333,2.782043881,2.563101497,2.749192144,2.72392355,2.243471829,2.504055469,0.20538683,2.46920062,2.310057108,1.916628451,0.024692613,1.987600338,1.654602464,3.351775983,2.867508392,4.059538616,4.542670075
sagrei,4.067161768,2.835152639,2.297270998,2.125012243,2.822628106,2.720900613,2.502746568,2.631744945,2.569936899,2.140771797,2.476118144,0.337186267,2.367623489,2.157906082,1.836892159,0.141499562,2.090875919,1.744318395,3.508974236,2.91871739,4.007056191,4.717579991
semilineatus,3.696630586,2.562253419,1.769641664,1.672647426,2.549738097,2.457877977,2.264234002,2.2994552,2.289499853,1.875640953,2.201935685,-0.177334015,1.849241905,1.617654067,1.323753843,-0.404215889,1.499902025,1.16315081,3.387636761,2.706268461,3.686351604,4.800831488
sheplani,3.682924257,2.494856981,1.497388409,1.477048724,2.447118244,2.370944431,2.213480618,1.778758657,1.62087229,1.100277568,1.239822457,-0.363843433,1.675693708,1.357122984,0.884800065,-0.588787165,1.101940079,0.983014364,3.152139632,2.719176165,3.682645398,3.749157859
shrevei,3.983003234,2.913545603,2.460613957,2.165389854,2.920469789,2.824053877,2.615496219,2.588290213,2.519549593,2.130491056,2.422410486,0.196388814,2.336406641,2.135703721,1.776984184,0.051643233,1.953594832,1.720979287,3.337627622,2.769889381,3.955989073,4.630166428
singularis,4.057997494,2.917680638,2.322224308,2.024853351,2.928612646,2.833801406,2.599350784,2.48740353,2.3896798,1.914468623,2.332143895,0.358839267,2.31583032,2.087120318,1.755556421,0.272568435,1.846615853,1.765586595,3.636608125,3.149753918,4.091796951,4.628284707
smallwoodi,5.035095592,3.954918278,3.396854632,3.224119197,3.928655347,3.864032521,3.675178886,3.589295871,3.467341756,3.003842157,3.302691625,1.488077055,3.342861805,3.125004609,2.741300747,1.33274288,2.959957046,2.681217204,4.218324233,3.731340535,5.036650354,5.742585375
strahmi,4.274271278,3.146161753,2.628365454,2.423622088,3.174900716,3.060583246,2.844198537,3.078489243,3.005902602,2.468664344,2.654571284,0.647103242,2.762468238,2.671693531,2.074289403,0.474161639,2.211809063,1.928780138,3.448130485,2.9906901,4.258750159,4.933514213
stratulus,3.869880695,2.717120056,2.1102132,1.784511041,2.69889733,2.615691218,2.400769925,2.329875953,2.32971376,1.850814232,2.185301932,0.244252515,2.22318107,2.020001114,1.677096561,0.205658237,1.669277913,1.565137654,3.519860022,3.099932806,3.859892737,4.355771723
valencienni,4.321524401,3.193284475,2.564821144,2.403334996,3.194992884,3.113070766,2.891297255,2.69934576,2.540420193,2.050913458,2.378465303,0.656656072,2.554251311,2.307074998,1.869234781,0.494696242,2.051556338,1.891856155,3.608915593,3.20444513,4.344338529,4.633010413
vanidicus,3.62620586,2.490308699,1.576398058,1.44926916,2.448631594,2.363444981,2.1784381,2.175319742,2.09679018,1.548625773,1.77579945,-0.331982331,1.69790656,1.44042737,1.067293605,-0.562118918,1.262713299,0.971725439,3.134737357,2.578584005,3.591365291,4.506490187
vermiculatus,4.802849398,3.656024153,2.955356608,2.796322687,3.650658241,3.574109731,3.358240173,3.41006273,3.317919287,2.862935305,3.229900543,1.053316014,3.025013645,2.805436147,2.606386547,0.880811582,2.763259627,2.460809098,3.832654767,3.301242224,4.805347849,5.555142587
websteri,3.916546094,2.690564887,2.235732786,1.930796511,2.670463707,2.580343084,2.379391801,2.463285704,2.419182241,1.87077601,2.204604685,0.343589704,2.309560707,2.170195905,1.7275172,0.258510695,1.773821769,1.704748092,3.365861436,2.973535365,3.865583474,4.266035073
whitemani,4.097478535,3.043887315,2.542389085,2.351851334,3.044046134,2.943297978,2.707827954,2.77133794,2.723486009,2.265402302,2.51244075,0.37041347,2.494581915,2.32874005,1.881752508,0.149855756,2.075684493,1.739588597,3.351998328,2.782257217,4.005390199,4.747225745
